CustomerID,Name,Region,JoinDate,CustomerRewardPoints,CustomerStatus
1000,robert gomez,west,2/25/2024,0,new
1001,john silva,east,12/1/2020,1480,active
1002,mark marshall,central,8/8/2020,890,active
1003,david brennan,north,5/21/2020,1575,vip
1004,kerry collins,north,9/12/2023,75,new
1005,jessica mora,south,8/5/2021,420,active
1006,unknown,west,7/3/2021,1330,active
1007,david kim,west,5/20/2020,2050,vip
1008,william ramirez,east,9/15/2023,50,new
1009,zachary bell jr.,east,4/20/2023,210,active
1010,mike davis,east,3/23/2022,560,active
1011,amanda myers,west,9/5/2021,310,active
1012,tara miller,north,8/10/2020,1800,vip
1013,alyssa morgan,north,unknown,770,active
1014,cindy woods,east,4/2/2024,20,new
1015,jennifer rodgers,north,2/12/2023,950,active
1016,andrea roberts,east,5/16/2021,1650,vip
1017,brittney burnett,north,7/3/2020,200,active
1018,edwin garrison,south-west,8/31/2020,1020,active
1019,michelle torres,central,11/18/2020,880,active
1020,michelle brewer,east,7/14/2021,125,new
1021,aaron burnett,south,2/13/2024,1320,active
1022,austin gutierrez,east,11/25/2021,1130,active
1023,dustin medina,east,6/14/2021,780,active
1024,andres avila,central,9/19/2022,620,active
1025,garrett lewis,south,8/4/2023,410,active
1026,gary walls,north,10/5/2023,1950,vip
1027,anthony schroeder,east,10/4/2020,30,new
1028,haley wagner,west,11/3/2023,290,active
1029,gina powers,west,10/26/2022,1440,active
1030,alice robinson,east,8/6/2021,820,active
1031,jessica frazier,west,10/20/2021,1010,active
1032,terri long,east,10/23/2022,175,new
1033,paul perkins,east,3/16/2022,940,active
1034,heather smith,central,9/16/2022,350,active
1035,lorraine rodriguez,east,9/26/2022,1620,vip
1036,robert bishop,south-west,9/14/2020,710,active
1037,lisa sanders,west,6/3/2020,1280,active
1038,jason ford,east,10/9/2023,65,new
1039,brandy good,west,5/21/2023,145,active
1040,angel lee,central,4/8/2022,160,active
1041,david beltran,east,1/18/2021,1190,active
1042,christopher dodson,north,10/30/2023,1830,vip
1043,eric pena,west,6/30/2022,520,active
1044,anita huerta,east,4/8/2022,890,active
1045,dr. susan bailey,north,10/2/2020,1775,vip
1046,tyler colon,central,3/3/2021,405,active
1047,ashley pearson,west,10/4/2020,185,active
1048,dr. donald proctor,north,3/17/2024,1500,vip
1049,rebecca jordan,west,10/8/2022,970,active
1050,jeffrey mclaughlin,east,3/28/2022,1340,active
1051,amy nguyen,central,2/13/2024,480,active
1052,brandon hinton,south-west,11/10/2022,980,active
1053,benjamin cline,east,1/25/2022,1140,active
1054,laura mcdonald,south,12/3/2022,1995,vip
1055,william benitez,east,11/4/2020,770,active
1056,kristina wilson,east,5/15/2023,130,new
1057,kathy hall,north,10/27/2023,660,active
1058,steven jackson,central,6/26/2020,2100,vip
1059,steve massey,west,8/6/2020,890,active
1060,mr. christopher thompson,south,4/10/2023,410,active
1061,taylor kaufman,north,7/23/2021,245,active
1062,ashley harmon,south,2/13/2024,100,new
1063,howard case,south-west,2/15/2021,1260,active
1064,joshua cline,east,2/19/2024,1335,active
1065,daniel adams,central,7/2/2023,960,active
1066,derrick myers,north,4/6/2022,1780,vip
1067,lawrence pearson,east,4/29/2023,50,new
1068,melissa gutierrez,east,12/25/2023,75,new
1069,virginia warren,north,8/24/2023,970,active
1070,brittany johnson,east,6/4/2021,880,active
1071,christopher frost,east,8/21/2020,2020,vip
1072,shannon schmitt,east,8/23/2022,310,active
1073,matthew clark,central,8/21/2023,600,active
1074,alyssa evans,west,10/27/2021,140,new
1075,joseph chavez,north,1/1/2023,1290,active
1076,glenn shelton,east,5/1/2024,1100,active
1077,amy espinoza,north,5/29/2021,455,active
1078,danielle fuller,south-west,12/8/2023,1840,vip
1079,zachary thompson md,east,9/5/2022,1220,active
1080,thomas parker,south-west,2/28/2023,160,active
1081,ryan white,south,9/4/2020,185,active
1082,connor martin,central,1/5/2023,300,active
1083,jacqueline bishop,south,6/5/2020,940,active
1084,martha mccall,north,5/31/2022,1555,vip
1085,steven wright,central,8/22/2021,260,active
1086,robert rodriguez,east,3/1/2023,1120,active
1087,carla tran,east,7/22/2020,990,active
1088,lindsay torres,east,12/30/2021,10,new
1089,matthew hernandez,north,4/12/2023,780,active
1090,nicholas dunlap,south,10/11/2020,1080,active
1091,brianna thomas,unknown,5/23/2023,540,active
1092,timothy hill,west,9/7/2023,1360,active
1093,christian medina,east,2/4/2023,1950,vip
1094,robert jones,west,11/18/2023,150,new
1095,dr. jason scott,south,4/7/2021,1240,active
1096,patricia rogers,south,1/10/2024,1165,active
1097,laura jones,east,12/7/2023,880,active
1098,jeffrey maxwell,west,1/27/2022,1475,active
1099,lori howard,east,2/27/2021,1700,vip
1100,michael simon,east,12/27/2020,390,active
1101,ryan martin,south-west,11/14/2020,80,new
1102,robert hansen,central,11/19/2022,210,active
1103,megan chandler,east,6/25/2023,910,active
1104,david herrera,west,4/1/2021,1880,vip
1105,taylor clarke,central,3/11/2023,560,active
1106,jennifer ewing,east,5/16/2023,235,active
1107,emily hoffman,west,6/9/2023,670,active
1108,sharon bautista,central,7/31/2022,1795,vip
1109,aaron garcia,east,7/31/2023,0,inactive
1110,melissa grimes,south,3/14/2024,250,active
1111,ronald chavez,south-west,6/24/2021,320,active
1112,joseph flores,east,4/3/2021,995,active
1113,louis jones,central,7/4/2021,1590,vip
1114,grace price,south,3/25/2022,775,active
1115,gina banks,west,9/16/2023,610,active
1116,melissa rivera,central,10/25/2021,1410,active
1117,amanda lang,north,4/14/2024,900,active
1118,briana alvarado,south,3/18/2022,165,new
1119,cameron hernandez,east,8/8/2022,1265,active
1120,daniel meyer,south,3/15/2024,830,active
1121,stephanie garrison,east,8/21/2020,1520,vip
1122,christopher martinez,east,10/7/2021,35,new
1123,colleen greene,south-west,8/21/2022,122,active
1124,megan novak,east,12/19/2022,1140,active
1125,debbie andrews,west,5/22/2021,920,active
1126,lee luna,east,1/19/2021,880,active
1127,george edwards,central,5/12/2023,650,active
1128,vincent day,north,7/3/2022,1875,vip
1129,karina jones,east,11/5/2023,75,new
1130,mary sandoval,north,10/6/2020,1110,active
1131,mark gomez,west,6/11/2020,1390,active
1132,scott winters,west,9/20/2022,1495,active
1133,victor wagner,south-west,6/12/2021,205,active
1134,joseph aguilar,west,12/5/2023,1430,active
1135,christopher chen,south,9/10/2023,970,active
1136,scott hernandez,south,2/9/2024,1610,vip
1137,jessica harmon,south-west,11/5/2022,520,active
1138,bonnie stewart,south,4/19/2022,111,active
1139,heather olson,central,4/20/2021,1575,vip
1140,carla flores,east,9/30/2020,275,active
1141,david palmer,north,9/16/2022,1200,active
1142,marvin hamilton,north,4/23/2022,1025,active
1143,miss chelsea castro dds,central,2/23/2021,125,new
1144,brian browning,east,5/3/2023,440,active
1145,stephanie powell,east,2/3/2023,1420,active
1146,jonathan andrade,south-west,6/7/2020,80,new
1147,william palmer,south-west,8/14/2023,960,active
1148,dean allison,west,6/23/2021,1120,active
1149,jordan elliott,north,5/13/2020,1860,vip
1150,bobby hunter,north,12/6/2020,101,active
1151,sabrina lester,west,7/16/2022,540,active
1152,thomas garcia,east,9/14/2022,178,new
1153,michelle martinez,east,7/31/2023,120,active
1154,edward castillo,north,10/1/2020,1285,active
1155,rachel goodman,north,4/10/2023,1195,active
1156,dennis acevedo,east,6/18/2023,1720,vip
1157,cheryl wu,west,12/10/2021,55,new
1158,kelly gallagher,east,3/2/2024,215,active
1159,kelli smith,north,1/28/2022,340,active
1160,phillip soto,west,4/21/2023,910,active
1161,david ellis,east,1/2/2023,980,active
1162,deborah rice,east,1/14/2022,105789770,active
1163,elizabeth vaughn,west,5/1/2023,1425,active
1164,william ramsey,north,5/4/2023,172,active
1165,richard burnett,central,7/24/2022,50,new
1166,david mccullough,south-west,12/15/2021,870,active
1167,terry frederick,north,12/20/2021,945,active
1168,denise gonzales,south,5/2/2022,1620,vip
1169,michael edwards,south-west,9/26/2023,115,active
1170,eric davis,north,10/15/2023,305,active
1171,ronald marquez,south-west,4/21/2024,495,active
1172,eric barr,east,2/1/2023,1035,active
1173,david king md,north,9/14/2022,920,active
1174,deborah saunders,west,12/25/2021,887890,active
1175,teresa lopez,west,10/20/2021,2075,vip
1176,ashley williams,east,11/24/2021,35,new
1177,katherine west,east,11/1/2020,108,active
1178,katherine kerr,east,11/13/2020,210,active
1179,desiree miller,east,12/21/2021,970,active
1180,jennifer smith,south-west,10/3/2020,1420,active
1181,tiffany smith,east,4/7/2024,780,active
1182,james gray,west,7/24/2020,185,active
1183,kenneth graves,east,5/8/2020,70,new
1184,brittney chen,east,7/20/2023,1900,vip
1185,cameron levine,east,7/26/2021,560,active
1186,timothy williams,west,9/28/2021,1240,active
1187,kayla solomon,north,6/10/2022,65,new
1188,ashley todd,north,9/4/2023,2205789,active
1189,jennifer farrell,north,11/18/2022,1750,vip
1190,elizabeth robinson,south-west,12/27/2023,380,active
1191,kyle smith jr.,south,10/31/2023,640,active
1192,gregory medina,east,6/6/2020,1005,active
1193,nancy king,south,5/23/2022,910,active
